location	point
school:100680	[51.47076,-0.04862]
school:100681	[51.42894,-0.02362]
school:100682	[51.45513,-0.00380]
school:100683	[51.43420,0.00362]
school:100684	[51.45565,-0.02799]
school:100685	[51.48152,-0.02947]
school:100686	[51.42829,-0.03640]
school:100687	[51.45131,-0.00454]
school:100688	[51.44793,-0.02321]
school:100689	[51.46421,-0.03961]
school:100690	[51.43259,-0.06278]
school:100691	[51.47499,-0.05080]
school:100692	[51.42658,0.01447]
school:100693	[51.45214,0.00410]
school:100694	[51.47695,-0.03110]
school:100695	[51.47174,-0.02828]
school:100696	[51.42875,0.03303]
school:100697	[51.47955,-0.04702]
school:100698	[51.43247,0.01611]
school:100699	[51.42441,0.00368]
school:100700	[51.44119,-0.03267]
school:100701	[51.44291,-0.01904]
school:100702	[51.44299,-0.00055]
school:100703	[51.44299,-0.00055]
school:100704	[51.44942,-0.03891]
school:100705	[51.44942,-0.03891]
school:100706	[51.47715,-0.02359]
school:100707	[51.43664,-0.00241]
school:100708	[51.43664,-0.00241]
school:100709	[51.46626,0.00509]
school:100710	[51.44715,-0.05452]
school:100711	[51.43709,-0.06184]
school:100712	[51.48578,-0.04209]
school:100713	[51.47034,-0.03143]
school:100714	[51.44380,-0.05921]
school:100715	[51.43700,-0.04678]
school:100716	[51.46923,-0.02552]
school:100717	[51.45372,0.00880]
school:100718	[51.43872,-0.03983]
school:100719	[51.46948,0.00346]
school:100720	[51.45907,-0.03786]
school:100721	[51.43762,-0.05172]
school:100722	[51.42651,0.01051]
school:100723	[51.43554,-0.05651]
school:100724	[51.45960,0.00509]
school:100725	[51.42410,-0.01659]
school:100726	[51.43099,-0.05515]
school:100727	[51.47441,-0.03814]
school:100728	[51.42898,-0.01166]
school:100729	[51.47888,-0.02535]
school:100730	[51.45506,-0.01526]
school:100731	[51.42908,-0.04217]
school:100732	[51.42643,-0.04149]
school:100733	[51.46008,-0.01032]
school:100734	[51.47072,-0.02469]
school:100735	[51.45355,0.00551]
school:100736	[51.46403,-0.00169]
school:100737	[51.44431,-0.03919]
school:100738	[51.44770,0.00969]
school:100739	[51.44282,-0.01670]
school:100740	[51.47835,-0.03659]
school:100741	[51.43423,-0.05920]
school:100742	[51.43378,-0.01093]
school:100743	[51.42269,-0.02305]
school:100744	[51.42809,0.01622]
school:100745	[51.43199,-0.04791]
school:100746	[51.46761,-0.04079]
school:100747	[51.44971,-0.02761]
school:100748	[51.47465,-0.02829]
school:100749	[51.45521,0.00746]
school:100750	[51.45947,-0.02600]
school:100751	[51.46354,0.00206]
school:100752	[51.42655,-0.00171]
school:100753	[51.45888,-0.04205]
school:100754	[51.44382,-0.02875]
school:100755	[51.44080,-0.02017]
school:100756	[51.47752,0.01578]
school:100757	[51.42635,-0.06427]
school:100758	[51.46275,-0.02819]
school:100759	[51.46785,-0.04350]
school:100760	[51.43208,-0.03967]
school:100761	[51.41386,-0.07125]
school:100762	[51.43305,0.01329]
school:100763	[51.42935,0.00149]
school:100764	[51.46269,-0.04243]
school:100765	[51.43219,-0.03965]
school:100766	[51.42537,-0.02194]
school:100767	[51.49438,-0.07608]
school:100768	[51.47725,-0.07799]
school:100769	[51.43138,-0.07985]
school:100770	[51.47487,-0.06453]
school:100771	[51.48015,-0.08268]
school:100772	[51.48189,-0.07535]
school:100773	[51.47202,-0.05503]
school:100774	[51.49994,-0.05165]
school:100775	[51.46699,-0.07085]
school:100776	[51.45874,-0.08680]
school:100777	[51.45874,-0.08680]
school:100778	[51.47770,-0.08889]
school:100779	[51.47770,-0.08889]
school:100780	[51.48043,-0.06343]
school:100781	[51.50114,-0.09657]
school:100782	[51.48480,-0.07694]
school:100783	[51.47762,-0.09735]
school:100784	[51.48997,-0.10094]
