academy-school-eng	school-type	academy-trust	school-trust-join-date	academy-sponsor
134311	28	company:05398529	2007-01-09	Oasis Community Learning
134314	28	company:05412502		Diocese of London
134369	28			Alec Reed
134693	28	company:04468267	2004-01-09	The Mossbourne Federation
134797	28	company:04302474		Barry Townsley CBE
134798	28	company:04389132	2004-01-09	Peter Shalson
134814	28	company:04439859	2004-01-09	United Learning
134815	28	company:04439859	2004-01-09	United Learning
134993	28	company:04798185		This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
135004	28	company:05051218		This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
135007	28	company:04916397		Emmanuel Schools Foundation
135070	28	company:02535091	2005-01-09	The Haberdashers' Livery Company
135071	28	company:04439859	2005-01-09	United Learning
135073	28	company:02535091	2005-01-09	The Haberdashers' Livery Company
135120	28	company:02387916	2006-01-09	Landau Forte Charitable Trust
135149	28	company:05978522		This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
135170	28	company:06336693	2007-03-09	This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016
135174	28	company:06000347	2007-01-09	Girls' Day School Trust (GDST)
135176	28	company:05398529	2007-01-09	Oasis Community Learning
135195	28	company:05115594		Roger De Haan
135209	28	company:05398529	2007-01-09	Oasis Community Learning
135234	28	company:06982127	2007-03-09	Ormiston Academies Trust
135242	28	company:05112090	2007-05-09	ARK Schools
135249	28	company:06228587	2007-03-09	Harris Federation
