urn	establishment-type	establishment-group-type
116357	Voluntary Aided School	LA maintained schools
116358	Voluntary Aided School	LA maintained schools
116359	Voluntary Aided School	LA maintained schools
116360	Voluntary Aided School	LA maintained schools
116361	Voluntary Aided School	LA maintained schools
116362	Voluntary Aided School	LA maintained schools
116363	Voluntary Aided School	LA maintained schools
116364	Voluntary Aided School	LA maintained schools
116365	Voluntary Aided School	LA maintained schools
116366	Voluntary Aided School	LA maintained schools
116367	Voluntary Controlled School	LA maintained schools
116368	Voluntary Aided School	LA maintained schools
116369	Voluntary Aided School	LA maintained schools
116370	Voluntary Aided School	LA maintained schools
116371	Voluntary Aided School	LA maintained schools
116372	Voluntary Aided School	LA maintained schools
116373	Voluntary Aided School	LA maintained schools
116374	Voluntary Aided School	LA maintained schools
116375	Voluntary Aided School	LA maintained schools
116376	Voluntary Aided School	LA maintained schools
116377	Voluntary Aided School	LA maintained schools
116378	Voluntary Aided School	LA maintained schools
116379	Voluntary Aided School	LA maintained schools
116380	Voluntary Aided School	LA maintained schools
116381	Voluntary Aided School	LA maintained schools
116382	Voluntary Aided School	LA maintained schools
116383	Voluntary Aided School	LA maintained schools
116384	Voluntary Aided School	LA maintained schools
116385	Voluntary Aided School	LA maintained schools
116386	Voluntary Aided School	LA maintained schools
116387	Voluntary Aided School	LA maintained schools
116388	Voluntary Aided School	LA maintained schools
116389	Voluntary Aided School	LA maintained schools
116390	Voluntary Aided School	LA maintained schools
116391	Voluntary Aided School	LA maintained schools
116392	Voluntary Aided School	LA maintained schools
116393	Voluntary Aided School	LA maintained schools
116394	Voluntary Aided School	LA maintained schools
116395	Voluntary Aided School	LA maintained schools
116396	Voluntary Aided School	LA maintained schools
116397	Voluntary Aided School	LA maintained schools
116398	Voluntary Aided School	LA maintained schools
116399	Voluntary Aided School	LA maintained schools
116400	Voluntary Aided School	LA maintained schools
116401	Voluntary Aided School	LA maintained schools
116402	Voluntary Aided School	LA maintained schools
116403	Voluntary Aided School	LA maintained schools
116404	Community School	LA maintained schools
116405	Community School	LA maintained schools
116406	Foundation School	LA maintained schools
116407	Community School	LA maintained schools
116408	Community School	LA maintained schools
116409	Community School	LA maintained schools
116410	Foundation School	LA maintained schools
116411	Community School	LA maintained schools
116412	Community School	LA maintained schools
116413	Community School	LA maintained schools
116414	Foundation School	LA maintained schools
116415	Community School	LA maintained schools
116416	Community School	LA maintained schools
116417	Foundation School	LA maintained schools
116418	Community School	LA maintained schools
116419	Community School	LA maintained schools
116420	Community School	LA maintained schools
116421	Community School	LA maintained schools
116422	Community School	LA maintained schools
116423	Foundation School	LA maintained schools
116424	Community School	LA maintained schools
116425	Community School	LA maintained schools
116426	Community School	LA maintained schools
116427	Community School	LA maintained schools
116428	Foundation School	LA maintained schools
116429	Community School	LA maintained schools
116430	Community School	LA maintained schools
116431	Community School	LA maintained schools
116432	Community School	LA maintained schools
116433	Community School	LA maintained schools
116434	Foundation School	LA maintained schools
116435	Community School	LA maintained schools
116436	Community School	LA maintained schools
116437	Community School	LA maintained schools
116438	Community School	LA maintained schools
116439	Community School	LA maintained schools
116440	Community School	LA maintained schools
116441	Community School	LA maintained schools
116442	Community School	LA maintained schools
116443	Community School	LA maintained schools
116444	Community School	LA maintained schools
116445	Community School	LA maintained schools
116446	Foundation School	LA maintained schools
116447	Community School	LA maintained schools
116448	Community School	LA maintained schools
116449	Community School	LA maintained schools
116450	Foundation School	LA maintained schools
116451	Community School	LA maintained schools
116452	Community School	LA maintained schools
116453	Community School	LA maintained schools
116454	Foundation School	LA maintained schools
116455	Community School	LA maintained schools
116456	Community School	LA maintained schools
116457	Foundation School	LA maintained schools
116458	Community School	LA maintained schools
116459	Community School	LA maintained schools
116460	Community School	LA maintained schools
